State Abbreviations,Capital City,State,Country,Latitude,Longitude
AB,Edmonton,Alberta,Canada,53.55002464,-113.4999819
AGU,Aguascalientes,Aguascalientes,Mexico,21.876,-102.296
AK,Juneau,Alaska,USA,58.301598,-134.420212
AL,Montgomery,Alabama,USA,32.377716,-86.300568
AR,Little Rock,Arkansas,USA,34.746613,-92.288986
AZ,Phoenix,Arizona,USA,33.448143,-112.096962
BC,Victoria,British Columbia,Canada,48.43328269,-123.3500009
BCN,Mexicali,Baja California,Mexico,32.6633,-115.4678
BCS,La Paz,Baja California Sur,Mexico,24.1422,-110.3108
CA,Sacramento,California,USA,38.576668,-121.493629
CAM,Campeche,Campeche,Mexico,19.85,-90.5306
CHI,Chihuahua,Chihuahua,Mexico,28.6353,-106.0889
CHP,Tuxtla,Chiapas,Mexico,16.7528,-93.1167
CO,Denver,Colorado,USA,39.739227,-104.984856
COA,Saltillo,Coahuila de Zaragoza,Mexico,25.4333,-101
COL,Colima,Colima,Mexico,19.2433,-103.7247
CT,Hartford,Connecticut,USA,41.764046,-72.682198
DC,Washington,District of Columbia,USA,38.9072,-77.0369
DE,Dover,Delaware,USA,39.157307,-75.519722
DUR,Durango,Durango,Mexico,24.0167,-104.6667
FED,Mexico City,Ciudad Mexico,Mexico,19.4333,-99.1333
FL,Tallahassee,Florida,USA,30.438118,-84.281296
GA,Atlanta,Georgia,USA,33.749027,-84.388229
GTO,Guanajuato,Guanajuato,Mexico,21.0178,-101.2567
GUE,Chilpancingo,Guerrero,Mexico,17.55,-99.5
HID,Pachuca,Hidalgo,Mexico,20.1,-98.75
IA,Des Moines,Iowa,USA,41.591087,-93.603729
ID,Boise,Idaho,USA,43.617775,-116.199722
IL,Springfield,Illinois,USA,39.798363,-89.654961
IN,Indianapolis,Indiana,USA,39.768623,-86.162643
JAL,Guadalajara,Jalisco,Mexico,20.6767,-103.3475
KS,Topeka,Kansas,USA,39.048191,-95.677956
KY,Frankfort,Kentucky,USA,38.186722,-84.875374
LA,Baton Rouge,Louisiana,USA,30.457069,-91.187393
MA,Boston,Massachusetts,USA,42.358162,-71.063698
MB,Winnipeg,Manitoba,Canada,49.88298749,-97.16599186
MCH,Chetumal,Michoacan,Mexico,18.5036,-88.3053
MD,Annapolis,Maryland,USA,38.978764,-76.490936
ME,Augusta,Maine,USA,44.307167,-69.781693
MEX,Toluca,México,Mexico,19.2925,-99.6569
MI,Lansing,Michigan,USA,42.733635,-84.555328
MN,St. Paul,Minnesota,USA,44.955097,-93.102211
MO,Jefferson City,Missouri,USA,38.579201,-92.172935
MOR,Cuernavaca,Morelos,Mexico,18.9186,-99.2342
MS,Jackson,Mississippi,USA,32.303848,-90.182106
MT,Helena,Montana,USA,46.585709,-112.018417
NAY,Tepic,Nayarit,Mexico,21.5083,-104.8931
NB,Fredericton,New Brunswick,Canada,45.94999758,-66.63330774
NC,Raleigh,North Carolina,USA,35.78043,-78.639099
ND,Bismark,North Dakota,USA,46.82085,-100.783318
NE,Lincoln,Nebraska,USA,40.808075,-96.699654
NH,Concord,New Hampshire,USA,43.206898,-71.537994
NJ,Trenton,New Jersey,USA,40.220596,-74.769913
NL,St.John’s,Newfoundland and Labrador,Canada,47.58498822,-52.68100692
NM,Santa Fe,New Mexico,USA,35.68224,-105.939728
NS,Halifax,Nova Scotia,Canada,44.65002525,-63.60000452
NT,Yellowknife,Northwest Territories,Canada,62.44201418,-114.3969814
NU,Iqaluit,Nunavut,Canada,63.75045938,-68.50019175
NV,Carson City,Nevada,USA,39.163914,-119.766121
NVL,Monterrey,Nuevo León,Mexico,25.6667,-100.3
NY,Albany,New York,USA,42.652843,-73.757874
OAX,Oaxaca,Oaxaca,Mexico,17.0833,-96.75
OH,Columbus,Ohio,USA,39.961346,-82.999069
OK,Oklahoma City,Oklahoma,USA,35.492207,-97.503342
ON,Toronto,Ontario,Canada,43.69997988,-79.42002079
OR,Salem,Oregon,USA,44.938461,-123.030403
PA,Harrisburg,Pennsylvania,USA,40.264378,-76.883598
PE,Charlottetwn,Prince Edward Island,Canada,46.24928164,-63.13132512
PUE,Puebla,Puebla,Mexico,19.0333,-98.1833
QC,Quebec City,Quebec,Canada,46.83996909,-71.24561019
QUE,Querétaro,Querétaro,Mexico,20.5875,-100.3928
RI,Providence,Rhose Island,USA,41.830914,-71.414963
SC,Columbia,South Carolina,USA,34.000343,-81.033211
SD,Pierre,South Dakota,USA,44.367031,-100.346405
SIN,Culiacán,Sinaloa,Mexico,24.8069,-107.3939
SK,Regina,Saskatchewan,Canada,50.45003298,-104.6170099
SLP,San Luis Potosí,San Luis Potosí,Mexico,22.1511,-100.9761
SON,Hermosillo,Sonora,Mexico,29.0989,-110.9542
TAB,Villahermosa,Tabasco,Mexico,17.9892,-92.9281
TAM,Ciudad Victoria,Tamaulipas,Mexico,23.7333,-99.1333
TLA,Tlaxcala,Tlaxcala,Mexico,19.3191,-98.1998
TN,Nashville,Tennessee,USA,36.16581,-86.784241
TX,Austin,Texas,USA,30.27467,-97.740349
UT,Salt Lake City,Utah,USA,40.777477,-111.888237
VA,Richmond,Virginia,USA,37.538857,-77.43364
VER,Xalapa,Veracruz,Mexico,19.54,-96.9275
VT,Montpelier,Vermont,USA,44.262436,-72.580536
WA,Olympia,Washington,USA,47.035805,-122.905014
WI,Madison,Wisconsin,USA,43.074684,-89.384445
WV,Charleston,West Virginia,USA,38.336246,-81.612328
WY,Cheyenne,Wyoming,USA,41.140259,-104.820236
YT,Whitehorse,Yukon,Canada,60.71671897,-135.0499844
YUC,Mérida,Yucatán,Mexico,20.97,-89.62
ZAC,Zacatecas,Zacatecas,Mexico,22.7736,-102.5736
